latitude,longitude,Amenity
-33.88750063,151.0721549,Fast food
-33.88760345,151.0728282,Fast food
-33.8341647,151.0857339,Fast food
-33.8487112,151.0898727,Fast food
-33.8478494,151.0862899,Fast food
-33.8368408,151.0927686,Fast food
-33.8376339,151.0918352,Fast food
-33.8494474,151.0488634,Fast food
-33.863078,151.0446544,Fast food
-33.86481846,151.0421622,Fast food
-33.81939889,151.0207923,Fast food
-33.81922997,151.0198905,Fast food
-33.8770468,151.0204618,Fast food
-33.8375069,151.0268399,Fast food
-33.8446066,151.0409578,Fast food
-33.8375292,151.0276043,Fast food
-33.8491912,151.0335423,Fast food
-33.850109,151.0333416,Fast food
-33.850397,151.0329978,Fast food
-33.8023121,150.9556303,Fast food
-33.8151378,150.9713889,Fast food
-33.8064295,150.988719,Fast food
-33.8180503,150.9328368,Fast food
-33.8073427,150.9701613,Fast food
-33.8074848,150.9708043,Fast food
-33.8075644,150.9712506,Fast food
-33.81580478,150.9688449,Fast food
-33.80862375,150.9356752,Fast food
-33.81594817,150.9726354,Fast food
-33.81727198,150.9632957,Fast food
-33.7672861,150.9525008,Fast food
-33.7667397,150.9546596,Fast food
-33.7667397,150.9553914,Fast food
-33.77753065,150.9369396,Fast food
-33.7847382,150.8997164,Fast food
-33.7731056,150.907528,Fast food
-33.7663517,150.9120762,Fast food
-33.7803366,150.9196123,Fast food
-33.7846825,150.8997366,Fast food
-33.757527,150.8942038,Fast food
-33.7893875,150.888951,Fast food
-33.7777328,150.8945054,Fast food
-33.7529701,150.8879954,Fast food
-33.7805441,150.9198971,Fast food
-33.7809653,150.9198558,Fast food
-33.7685035,150.9121092,Fast food
-33.7685266,150.906999,Fast food
-33.7535499,150.8880672,Fast food
-33.77775922,150.8943799,Fast food
-33.79315858,150.8974371,Fast food
-33.74444264,150.9155868,Fast food
-33.74421347,150.9160693,Fast food
-33.8052478,151.0057212,Fast food
-33.8119694,151.0041843,Fast food
-33.812894,151.0011471,Fast food
-33.8121017,151.0037363,Fast food
-33.8085681,151.0060637,Fast food
-33.8077756,151.0053367,Fast food
-33.8173087,151.0030659,Fast food
-33.8174881,151.0031643,Fast food
-33.8174696,151.0030373,Fast food
-33.8149799,151.0088581,Fast food
-33.8149377,151.0062777,Fast food
-33.8140807,151.0051083,Fast food
-33.8167651,151.0049987,Fast food
-33.8168468,151.0050472,Fast food
-33.8225157,151.0053637,Fast food
-33.80811032,151.0048401,Fast food
-33.81313693,151.0257034,Fast food
-33.81273108,151.0034117,Fast food
-33.81299944,151.0033134,Fast food
-33.8047507,151.0053296,Fast food
-33.8088885,151.010161,Fast food
-33.7941559,151.0006447,Fast food
-33.7975983,151.0049505,Fast food
-33.8081311,151.0145627,Fast food
-33.7739874,151.0015047,Fast food
-33.7962189,150.9888425,Fast food
-33.7926454,150.9983924,Fast food
-33.79599528,150.9895808,Fast food
-33.79623918,150.9897178,Fast food
-33.79657313,150.9890987,Fast food
-33.79270873,150.9984255,Fast food
-33.7458286,150.9521589,Fast food
-33.7603985,150.9918415,Fast food
-33.732563,150.9631295,Fast food
-33.7327325,150.9632048,Fast food
-33.7333132,150.9625142,Fast food
-33.7384921,150.9492856,Fast food
-33.7324395,151.0056371,Fast food
-33.7315842,151.0051228,Fast food
-33.7323299,151.0052704,Fast food
-33.7316038,151.0052515,Fast food
-33.7316244,151.0053742,Fast food
-33.7315217,151.0055147,Fast food
-33.7315538,151.0054822,Fast food
-33.7315887,151.0054461,Fast food
-33.7314209,151.0054729,Fast food
-33.7314861,151.0055952,Fast food
-33.7314691,151.0055652,Fast food
-33.731412,151.0055641,Fast food
-33.7305422,151.0165728,Fast food
-33.731065,151.0069399,Fast food
-33.7309007,151.0066986,Fast food
-33.73345271,151.00273,Fast food
-33.6847375,150.9180686,Fast food
-33.6844541,150.9178057,Fast food
-33.6842109,150.9175317,Fast food
-33.6997629,150.9576679,Fast food
-33.7133899,150.9719767,Fast food
-33.7131976,150.9719098,Fast food
-33.7134339,150.9718391,Fast food
-33.7131958,150.9725492,Fast food
-33.6870843,150.9202564,Fast food
-33.6861314,150.9516898,Fast food
-33.69993039,150.9280003,Fast food
-33.6608948,151.0057736,Fast food
-33.69554674,151.0316578,Fast food
-33.69585712,151.0315106,Fast food
-33.70599089,151.0264045,Fast food
-33.69699578,151.0305143,Fast food
-33.8386229,150.9993852,Fast food
-33.8395276,150.9998031,Fast food
-33.8401625,150.9996182,Fast food
-33.8266533,150.982431,Fast food
-33.8356191,150.98698,Fast food
-33.8331244,150.9686155,Fast food
-33.8326432,150.9689051,Fast food
-33.8264446,150.9830028,Fast food
-33.8343298,150.9685259,Fast food
-33.8231201,150.9802992,Fast food
-33.8326337,150.9716676,Fast food
-33.8359935,150.9913228,Fast food
-33.8362297,150.9876964,Fast food
-33.8361541,150.9872515,Fast food
-33.836502,150.9893363,Fast food
-33.83251745,150.9690664,Fast food
-33.8825904,150.9979113,Fast food
-33.8830264,150.9988093,Fast food
-33.8829543,151.000745,Fast food
-33.8831473,151.0019904,Fast food
-33.8832951,151.0008598,Fast food
-33.8827853,150.9993028,Fast food
-33.8815229,150.9768586,Fast food
-33.8774619,150.9799793,Fast food
-33.8510114,150.9433101,Fast food
-33.8499183,150.9007333,Fast food
-33.85206079,150.9421706,Fast food
-33.84952666,150.9019412,Fast food
-33.84956865,150.9011217,Fast food
-33.8690962,150.9591875,Fast food
-33.8729957,150.9571289,Fast food
-33.8687831,150.9575236,Fast food
-33.8686178,150.9557324,Fast food
-33.8623625,150.9398693,Fast food
-33.8990281,150.9199081,Fast food
-33.8951614,150.9358984,Fast food
-33.8945029,150.9366154,Fast food
-33.89737928,150.9533915,Fast food
-33.9073472,150.8660582,Fast food
-33.9554988,150.8719876,Fast food
-33.9186952,150.9247099,Fast food
-33.9032101,150.8960322,Fast food
-33.9029518,150.8961663,Fast food
-33.9018561,150.8972384,Fast food
-33.948424,150.9541052,Fast food
-33.9187434,150.9241939,Fast food
-33.9075974,150.9190608,Fast food
-33.9078684,150.9198734,Fast food
-33.9560579,150.8922528,Fast food
-33.9558704,150.8922635,Fast food
-33.9178126,150.9120971,Fast food
-33.9285706,150.9476085,Fast food
-33.9398507,150.9122737,Fast food
-33.9570001,150.8827556,Fast food
-33.9187861,150.92469,Fast food
-33.9192548,150.9244594,Fast food
-33.918537,150.9241423,Fast food
-33.919168,150.9243276,Fast food
-33.918462,150.9245368,Fast food
-33.9190531,150.9241322,Fast food
-33.9192481,150.9241944,Fast food
-33.9184499,150.9244303,Fast food
-33.9189143,150.92431,Fast food
-33.918435,150.9243238,Fast food
-33.9191211,150.9241192,Fast food
-33.9187071,150.9245712,Fast food
-33.9184191,150.9241823,Fast food
-33.91859,150.9242225,Fast food
-33.9186647,150.924213,Fast food
-33.9188349,150.924173,Fast food
-33.9189103,150.9241602,Fast food
-33.9189868,150.9241489,Fast food
-33.9191884,150.9241038,Fast food
-33.9269319,150.8967552,Fast food
-33.9270107,150.8963485,Fast food
-33.9282642,150.9086167,Fast food
-33.9143236,150.9303347,Fast food
-33.9204609,150.9250598,Fast food
-33.9143291,150.9302329,Fast food
-33.9203849,150.924461,Fast food
-33.9211943,150.9241343,Fast food
-33.9217803,150.9240251,Fast food
-33.922309,150.9239157,Fast food
-33.920427,150.9247972,Fast food
-33.9214233,150.9240915,Fast food
-33.9142972,150.9305684,Fast food
-33.9192441,150.9242831,Fast food
-33.95942374,150.8821228,Fast food
-33.90939415,150.9398116,Fast food
