Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Merimbula, NSW",4,4,6,20,16,1,10km,Major towns,-36.8831024,149.9061706,1/01/2024
"Queanbeyan , NSW",4,4,9,40,60,16.3,10km,Major towns,-35.3569899,149.2197883,1/01/2024
"Yass, NSW",4,4,7,29,12,-0.8,10km,Major towns,-34.8375596,148.9069095,1/01/2024
"Young, NSW",4,4,4,17,30,11.7,10km,Major towns,-34.30614531,148.3016193,1/01/2024
"Bargo, NSW",4,4,4,7,25,6.99,10km,Major towns,-34.28504299,150.5783452,1/01/2024
"Douglas Park, NSW",4,4,4,14,15,9.7,10km,Major towns,-34.18668233,150.7169898,1/01/2024
"Jilliby, NSW",4,4,4,8,54.01,6.72,10km,Major towns,-33.23183162,151.4067649,1/01/2024
"Nowra, NSW",4,4,8,27,90,28.88,10km,Major towns,-34.8772319,150.6049967,1/01/2024
"Picton, NSW",4,4,7,26,35,10.19,10km,Major towns,-34.1729175,150.6085127,1/01/2024
"The Oaks, NSW",4,4,4,14,15,6.78,10km,Major towns,-34.08688186,150.5668705,1/01/2024
Lithgow,4,4,5,21,30,14.29,10km,Major towns,-33.4827328,150.1559295,1/01/2024
"Bega, NSW",4,4,4,8,30,15.1,20km,Journey enablement,-36.68056791,149.831479,1/01/2025
"Tarcutta, NSW",4,4,4,8,6.9,3.1,20km,Journey enablement,-35.28335431,147.7166748,1/01/2025
Buronga NSW,4,4,4,20,39.7,-2.4,20km,Journey enablement,-34.17329117,142.1898025,1/01/2025
"Hay, NSW",4,4,4,8,10,3.6,20km,Journey enablement,-34.50418411,144.8441586,1/01/2025
"Gunnedah, NSW",4,4,4,8,30,5.2,20km,Journey enablement,-30.97942441,150.2461079,1/01/2025
"Narrabri, NSW",4,4,4,24,30,13.7,20km,Journey enablement,-30.32802835,149.7786371,1/01/2025
"Coonabarabran, NSW",4,4,4,7,13,4.4,20km,Journey enablement,-31.27345491,149.2773256,1/01/2025
"Forbes, NSW",4,4,4,12,30,15.2,20km,Journey enablement,-33.36663735,148.0218351,1/01/2025
"Wilcannia, NSW",4,4,4,4,3.5,2.5,20km,Journey enablement,-31.55870878,143.3787463,1/01/2025
"Broken hills, NSW",4,4,4,4,88.2,45.5,20km,Journey enablement,-31.95125654,141.4629446,1/01/2025
